id,Type,Name,Grade,District,Lat,Lon,Reviewer_Nationality
173,Restaurants,RANMUTHU CHINESE RESTAURANT,A,Colombo,79.89618553,6.93722362,United Kingdom
174,Restaurants,HASARA RESTAURANT,A,Galle,80.19222848,6.046794606,United Kingdom
175,Restaurants,PLANET CUZENE,A,Colombo,79.866418,6.842919,United Kingdom
176,Restaurants,THE PUBLIC HOUSE HOTEL & RESTAURANT,A,Kegalle,80.19653913,7.224960913,United Kingdom
177,Restaurants,THE PAN RESTAURANT,A,Gampaha,79.843249,7.206416,United Kingdom
178,Restaurants,SEVEN ELEVEN RESTAURANT & BAR,A,Colombo,80.01667,6.86667,United Kingdom
179,Restaurants,THE MANGO TREE,A,Colombo,80.01667,6.86667,Ireland
180,Restaurants,BAYLEAF RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
181,Restaurants,PRIYANTHA CHINESE RESTAURANT,A,Matara,80.47750966,6.100507064,United Kingdom
182,Restaurants,PRIYANGANI RESTAURANT,A,Nuwara Eliya,80.602044,6.90314,United Kingdom
183,Restaurants,THANU RESTAURANT,A,Jaffna,80.16667,9.66667,United Kingdom
184,Restaurants,PRIMA TASTE MANAGED BY UPALI,A,Colombo,79.898096,6.893707,Malta
185,Restaurants,SADRA RESTAURANT,A,Colombo,80.01667,6.86667,Israel
186,Restaurants,SAVANNAH RESTAURANT,A,Gampaha,79.843249,7.206416,United Kingdom
187,Restaurants,SAKURA RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
188,Restaurants,SAKURA RESTAURANT,A,Kalutara,80.16667,6.58333,Ireland
189,Restaurants,SAKILA RESTAURANT,A,Colombo,79.89031426,6.932625418,United Kingdom
190,Restaurants,SALIKA INN,A,Kegalle,80.34513535,7.25319971,China
191,Restaurants,SAMANALA PARADISE RESTAURANT,A,Gampaha,79.914926,6.951178,Israel
192,Restaurants,SAMANALA RESTAURANT (KOTTE),A,Colombo,79.90916432,6.903166337,Russia
193,Restaurants,SAMANALA RESTAURANT (KIRIBATHGODA),A,Gampaha,79.92739077,6.978059805,United Kingdom
194,Restaurants,SAMANMAL CHINESE RESTAURANT,A,Matara,80.5,6.16667,United Kingdom
195,Restaurants,SEA FISH RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
